sentiment;content
1;Angela has a soothing personality which reflects in a very calm personality. Her attitude is one which should be emulated.
1;Bob brings a level of enthusiasm to his job that few can. He is always one of the guys on the team we go to when we need a lift.because of the thing called a VP shunt and po
0;i don't have a lot of experiences
0;i don't wanna be with people for long time
1;intelligence
1;nothing is better than working hard
0;Ken is normally a very affable guy, but under times of pressure, he succumbs to it and needs to work on his choice of language and volume level of his voice.
0;When the pressure is on and there is a choice to blink or not, Jack too frequently blinks
0;Mary is a good manager, but her mood changes too often for people to keep track of.
0;Jennifer is an asset in many ways, but her attitude needs to be kept in check.
0;Bill has a dreadful outlook at times which has a tendency to bring down the entire team.
0;For the most part, Lenny is a personable guy, but when he gets upset, his attitude turns to shocking. Lenny needs to balance his personality out and not react so much to negative eventsemotional. good thing he found you, t
0;Bill has a tendency to instigate problems between his coworkers.
0;Tom knows that certain conversations provoke members of his team, yet he continues to be vocal about non-work related topics. Tom should keep his conversations work related.
0;Angela has a tendency to erupt over minor things. This causes unease with her coworkers who do not want to set her off.
0;"Terry is quick to show his discontent with work; he should stop to think about how his display affects those around him."
0;Lindsay is a good person, but any constructive criticism devastates her. We cannot walk on egg shells around her if we want the team to get better.
0;Simply put: Jim’s negative attitude negatively affects his work performance. Jim needs to bring his attitude under control.
1;Polly is effective in the written and verbal word.
1;Jack’s years of experience communicating is evident in his wonderful communication skills.
1;Wendy has the valuable skill of communicating difficult concepts in easy to understand language.
1;Peter is quite good at communicating difficult messages with employees, management, and customers
1;As an employee, Ted was good at communication, as a manager, Ted has proved an even more effective communicator. His communication skills have improved tremendously this year
0;i'm so confused
1;Kyle is an adept communicator and is one of the best business writers I have had the pleasure of working with. Kyle communicates very well through his reports and white papers 
1;Cameron is very good at written communication, however his verbal communication skills can be improved. Cameron should work on being an active listener.
1;Barry reports necessary information to his coworkers.
1;Allison is excellent at keeping written information about her assignments and projects
1;One of Jim’s strengths is his use of candor and effective communication with his employees.
1;Brenda is very competent communicator.
0;George’s position requires him to have sufficient technical skills, however, he does not speak up during technical meetings to discuss potential solutions.
0;Over the past year, Terry has not performed very well in creating an honest and open environment for the employees he supervises.
0;Jenny must improve her foreign language skills to stay competitive in this industry
0;Greg is not adept at documenting verbal communication. Over the next 90 days, Greg should work on this skill.
0;One of Todd’s roles is to find consensus among his team members, but he has frequently failed to accomplish this task.
0;Fred does not communicate effectively and clearly
0;"Tricia holds too many meetings; fewer would be more effective."
0;Brian should communicate project status updates more frequently.
0; its so irresponsible and selfish! its sad
0;lies
0;Tom lacks credibility in his messages. His co-workers do not believe he is honest.
0;Peter has proved to be an ineffective communicator.
0;Jim does not effectively communicate – both written and verbal communication must be improved.
1;Frank promotes a team-centered environment.
1;Jenny is a proven team player.
1;William is an asset because he can effectively work with other teams and departments.
1;Julia is willing to do whatever it takes to get the job done – even perform tasks or Isabella coordinates individual workers together to meet deadlines and work effectively as a team.
1;Greg encourages people to work together towards a common goal.
1;Ben gives of himself to make sure the job is well done.
1;is thinking so much and i'm at work
1;Jill offers assistance willingly.
1;Greg makes a positive contribution to morale.
1;Peter accepts constructive criticism positively.
1;Yolanda shows sensitivity and consideration to other people’s feelings.
1;Fred creates a positive and inclusive work environment.
0;Fred doesn’t view his workplace as a “team” environment and too frequently wants to “go it alone” on projects.GREAT day with a few stressors...come home
0;Jim does not encourage a team-centered work environment.
0;Ben fails to commit his team to cooperating with organizational goals.
0;Harry demonstrates a desire to avoid working with others.
0;Kyle refuses to share crucial information with co-workers for fear he will be marginalized.
0;Manny is very good at individual tasks, but he falls short in cooperating on group projects and in partnership with staff members.
0;John takes on new tasks with ease, but when it comes time to communicate with other team members and train them on these tasks, John does not perform very well.
0;Janet consistently fails to be an effective team member. She needs to improve over the next several months in her teamwork skills
0;Jennifer is too cautious – she is afraid of confrontation so she does not step out to assist when it’s necessary.
0;George gets upset when co-workers do not help him, yet he does not offer assistance to others.
0;Greg is far too focused on finding new ways to accomplish things rather than cooperate with others in a process which is already well tested and defined.
0;Instead of making do with what she has, Holly tends to complain about a lack of resources and personnel.
1;Yolanda constantly searches for new ideas and ways to improve efficiency.
1;Walter creates an exciting atmosphere for his team: one in which new ideas are rewarded and encouraged.
1;"Peter doesn’t accept “we’ve always done it this way” as a solution; instead, he constantly reviews solutions to see if they are the most effective way of doing things."
1;Harry encourages his teammates to think outside of the box and to be more creative with solutions.
1;In meetings, Paul is very good at extracting unique ideas out of people – some you might not consider as very creative people.
1;Fred is a very creative innovator. Specifically, he solved an on-going problem by looking for a solution from all angles.
1;When we’re in crisis mode, we know we can turn to Jenny to craft a viable and inventive solution.
1;Emily has a creative personality which allows her to suggest original ideas. She should continue to adapt this to her position in the company.
1;Tom is an innovator at heart – his skill at inspiring new ideas is an asset to our team.
1;Jim has an imaginative personality and is very resourceful in times of need.
1;Sally has a creative touch in a sometimes monotonous role within our team – the way she adds inspiration to the day to day tasks she performs is admirable.
1;Bill adds an artistic flair to everything he produces which makes his projects much more fun than most.
0;Rachel discourages creative solutions from her team.
0;Kevin has a difficult time thinking “outside of the box” and creating new and untested solutions.
0;Jim is a creative guy but he has a tendency to act before thinking. This causes problems when an untested or unexamined idea is moved forward too quickly.
0;There is a place and time for realism, yet Wendy consistently strikes a practical, hard-nosed look at things without thinking how she could creatively solve a problem.
0;Frank has shown a tendency to be a matter-of-fact manager, but in his position, thinking in a more resourceful manner would do him well.
0;Whenever Bob runs into an obstacle, he has a tendency to stop and ask for help. We encourage him to develop solutions – or even recommendations – before constantly asking for help. 
0;Terry does not research solutions deeply enough and often just compiles ideas found on Web sites. This does not help for many of the problems we run into.
0;Henry rarely innovates and when he does, it seems forced.
0;Trent fails to generate new ideas.
0;Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha
0;Jennifer seems unwilling to consider new or intriguing ideas, even when the team runs out of your run-of-the-mill ideas.
0;Holly needs to work on being more resourceful on tasks and projects.
0;Tim isn’t willing to take risks on creative ideas.geography, only did like 1 day of study for 1/2 a year of work!
1;Wendy handles customer service situations well and is rated well by her peers, managers, and customers.
1;Nancy is one of our most proficient customer service trainers and demonstrates this when she’s working in customer care.
1;Thomas understands how to listen to customers and extract those details which make a big difference when dealing with our clients
1;Tom is adept at having happy customers and successfully upselling them at the same time.
1;Teri deals with customer complaints with a calm demeanor. Teri is very good at handling difficult situations with customers.
1;Paul works with customers very well. He is very good at dealing with irate customers in a calm and rational manner.
1;Bill takes great pride in his work.
1;Jim has consistently high marks on his customer satisfaction surveys.
1;Paula understands the latitude to ensure customer satisfaction and does everything necessary to retain customers.
1;Lenny is able to handle his clients well and does not have any complaints against him.
0;Frank does not understand how to deal with a difficult customer and too frequently passes the customer on to his supervisor.
0;John’s average time per call is too high and needs to be reduced this year. He needs to learn how to handle customers in a more efficient manner.
0;Ryan is very good at dealing with customers on the phone, but when they come in the store, he doesn’t handle one on one contact very well.
0;In most areas of customer service Harry does a good job, but when it comes to Bill follows the phone scripting in a rigid and inflexible way. In today’s market, we need some creativity and flexibility in dealing with customers, yet Bill does not seem to understand that
0;Jenny does not understand how to overcome client objections and instead gives up to early.
0;Teri can handle the run of the mill customer service situation, but the more complex issues seem to cause her to freeze and not react.
0;ALO is so sad and quiet and empty tonight
0;it's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set
0;John fails to follow up with customers as requested.
0;Bob has consistently low marks on his customer satisfaction surveys.
1;Kyle is one of our hardest workers and demonstrates to us that he cares about his job, his coworkers, and the company.
1;Jennifer consistently impresses us with her willingness to do whatever it takes to get the job done.
1;Jim is a very reliable employee.
1;We depend on Greg to turn in good performance each day and he never fails to impress
1;Ben faithfully commits to get the job done and consistently performs at or above expectations.
1;When we think of “steadfast,” April comes to mind. She is a loyal and trustworthy employee.
1;When we have a situation that must get done, we turn to Harry. Harry has our trust because he’s proven to us he can get the job done.
1;George is known for his dependability and willingness to do what it takes.
0;I dont feel good AT ALL. fuckkk
1;Jennifer is willing to get her hands dirty with her employees to ensure the job gets completed on time.
0;Bob is a very loyal guy, but not a very dependable one. “Flaky” is probably the closest word that comes to mind when thinking of Bob.
1;There are many times we have tasks that absolutely must be completed by a given time. In these circumstances, we know we can turn to Peter to get the task accomplished on time.
0;Holly is usually very steady in her work, but there have been several instances where she has been unreliable.
0;Unfortunately, Ryan does not ever put in overtime even if the job requires it. He is unwilling to work beyond his normally scheduled 40 hours.
0;In this economy, we need people who are willing to do whatever it takes to get the job done. Julia is not one of those people.
0;Peter’s reliability is questionable. Too often, his work results are inconsistent and need to be checked too frequently.
0;While most of his coworkers are willing to work late to get the project finished, Kyle seems content with leaving the work for others to do.
0;Kenny does not demonstrate a concern for what we think of him and whether or not we believe he is up to the job.
0;Lenny is not a dependable employee. If we know a task must be completed, we usually pass him over and find someone else to do the task.
0;Ida does not produce as consistent results as her coworkers do.
0;Peter is not reliable for his effort and does not demonstrate a willingness to do whatever it takes to get the job accomplished.
0;Even if we are behind on production, Holly does not show a willingness to help her employees out. Once promoted to supervisor, she has taken a hands off approach to the detriment of her team
1;Sally has a knack for making people feel important when she speaks with them. This translates into great opportunities for teamwork and connections to form
1;ack makes people feel at home with him. His natural ability to work with people is a great asset to our team.
1;Bill handles himself and the relationships with his coworkers very well.headache. I'm not looking forward to this.
1;Kevin can quickly build a positive relationship with people and understands how to relate with them.
1;Holly is able to create a sustain a positive, professional relationship with her coworkers, direct reports, and management team.
1;Tim is a positive influence to those around him and inspires them to work harder.
1;Bill has a nice understanding of how to relate to people and make them comfortable.
1;Greg seemingly can strike up a conversation with anybody. He has a gift in relating to people around him.
1;Pete is a nice and affable guy who works well with others.
1;Ben has a natural rapport with people and does very well at communicating with others
1;Jane seems to find it easy to connect with others and relate well with them
0;John is an affable fellow, yet his strong personality turns off people around him.
0;George does not work well with others.
0;Peter has a very strong personality and this has caused a rift on our team
0;John has an excellent impression among the management team, yet his fellow team members cannot stand working with him.
0;Fred should continue to work on cultivating good relationships with those around him.
0;Ken works well with members of his own team, yet he has an “us” against “them” mentality when it comes to others within the company
0;Many of Harry’s coworkers see him as unapproachable.
0;Frank gives off an impression of superiority to those around him.
0;Julie is brisk with her directions and crude with her feedback.
0;Tyler does not appreciate how happy team members can affect his own job performance and continually upsets those around him.
0;Ryan has left a wake of bad relationships in his career path.
0;Paula seems to shrink when she’s around others and does not cultivate good relations with her co-workers.
1;Bob is very professional with him employees and manages them well.
1;Fred has a difficult situation with the team he manages, yet he has turned them around in excellent fashion.
1;Paul’s team performs well and all speak highly of him.
1;Tim is a high performer and leads a team of high performers. His leadership has contributed to very high productivity from this department.
1;If John were a coach, he would be considered a “player’s coach.” He understands his team and how to motivate them to high performance.
1;Walter manages his team well and receives good performance from them.
1;Peter is an effective manager and understands how to supervise his employees to meet expectations.
1;Though Mandy had a rough start, she ended the year well with her team turning in the best performance of all the groups.
1;Greg is in a difficult situation: he inherited a team that frankly was a mess. In short order, he turned the team around to one of our best performers
0;i feel like I'm on house arrest.
1;Terry has received good feedback from his team and his managers.
1;Thomas is very adept at managing difficult employees and turning their energies towards higher performance.
0;Bill does not cope very well with managing employees. His employees consistently complain of unreasonable expectations and we tend to agree. Bill needs to improve his acceptance of a reasonable work-personal life balance.
0;Kyle is an adequate supervisor, but does not excel in this area. He does not always relate well with his employees and this shows in the group’s work effort.
0;Bryan has not made the transition from co-worker to manager very well. He has a difficult time separating his personal relationships with professional ones.
0;Paul does not understand how to set team goals and manage his team to achieve them. He seems to always be in “survival mode” without focusing on the goals necessary to move his team forward.
0;Harry understands how to manage personalities similar to his, but has not worked very hard managing other types of personalities on his team. He is coping with being a manage, but survival isn’t the goal: excellence is. Harry needs to better understand personality types and how they interrelate.
0;Tom is a decent task manager, but falls short when it comes to setting a vision.
0;We’ve experienced a few issues with Bill in a leadership position with the team that must be resolved. These issues could be detrimental to the performance of the department and should be the focus of the next few months.
0;Harry understands how to handle difficult employees and manage a high maintenance staff, yet we continue to have above average turnover on his team. This year, we need to focus on what issues are causing such high turnover.
0;Holly is not very effective at managing her staff to high performance.
0;Jim is a good supervisor, but has failed at managing his staff to high productivity.
0;Paul does not understand the intricacies of managing a high performance team and has yet to perform.
0;Julie was a great individual performer but so far has not proven she is a good manager.
0;Bill has a tendency to play favorites and not treat all employees fairly.
1;Harry manages his relationships with his coworkers, managers, and employees in a professional manner.
1;Paul works well with others.
1;Peter is the consummate team player.
1;Tom contributes to the success of the team on a regular basis.
1;We’ve always been impressed with Jack’s ability to work well with others, but this year, he has really shined in this area. Jack’s one of those team members you would love to have on your team.
1;Whenever a large project comes in, Tom is always one of the first to volunteer to help to get the job done.
1;It’s nice to see how Holly isn’t concerned about herself and continually contributes to the success of those around her.
1;Jenny always helps out to achieve the goals of the group.
1;Mary is a team player and understands how to help others in times of need.
1;Our company is composed of many teams and Bill’s ability to work with and understand the team dynamics has been beneficial to the firm.
1;Ben isn’t concerned about who gets the credit, just that the task gets accomplished.
1;Bill has a great willingness to help his fellow teammates.
0;Ryan holds on to too much and does not delegate to his team effectively.
0;Bryan focuses on getting his own work accomplished, but does not take the time to help those members of his team who are struggling to keep up.
0;Walter is inconsistent in supporting his teammates.
0;Peter was very good at teamwork when he was just a member of the team, now that he is in a supervisory role, Peter has lost much of those teamwork skills.
0;Paul relies on his own knowledge and abilities without asking others for help and their expertise
0;Manny is a team player most of the time, but frequently we have problems with his follow through when other teammates need help.
0;Brian is inner focused and does not think about the needs of those around him.
0;Fred seems more intent on accomplishing his tasks rather than assisting others who might need help.
0;Andrea comes from a very individual focused work environment to a team focused one and has struggled to adjust.
0;Esther focuses her team on accomplishing individual tasks without thinking about what could be accomplished if the team worked more cohesively together.
0;Lyle works with the team well when his own projects are coming due and he needs help, but once those are accomplished, he does not frequently help others on their projects.
0;Ollie does not understand how to share tasks with others.
1;Jim is one of the most technical employees we have.
1;Ben is able to grasp complex technical concepts and explain them in easy to understand ways.
1;When we need to implement new technology, we turn to Bill first
1;In the fast paced world of technology, things always seem to change so rapidly. With some of our systems being old, we rely on Ted’s expertise in the previous generation systems.
1;Walter is good at understanding the technical nature of his job.
1;Paul is excellent at absorbing the complexities of his job.
1;Ida deals with very complex topics and discussions, yet always seems to bring it to a level of understanding the rest of us can relate to.
1;Whenever we have a very technical problem, Holly is one of the first people we turn to. Her ability to grasp technology is an asset to our team
1;Harry is an accomplished technician who understands our systems and processes.
1;There are a lot of intricacies to Bob’s job, yet he makes it all seem so simple.
1;As we implement new technology, Ryan is one of the first to pick it up and understand it.
0;Ryan is not very adept at understanding new technology.
0;Though our systems have been in place for many years and are well documented, Bob does not have the aptitude to understand the technical nuances they present.
0;Fred’s understanding of business is very good, however, his ability to communicate with the technical members of his team is holding him back.
0;Peter needs to continue to improve his technical knowledge through training and self study.
0;Bill needs to improve his technical understanding of his job.
0;Jennifer is not a technician, yet some basic technical knowledge is required of her role. Jennifer needs to work on her technical knowledge.
0;Rote memorization of technical manuals is not the same as technical mastery. Bill needs to work on being able to think outside of the box, beyond the manuals, and troubleshoot technical issues which are not documented.
0;Paul is not technical enough for his role.
0;Terry surprised us by not being more technical in nature considering his background.
0;Technical concepts sometime seem to pass right by Walter. Walter should learn the technical concepts required for his position.
0;In such a fast changing world, keeping up with the latest technology can sometimes be difficult. However, in his role, Tom needs to focus more on understanding the trends and changes in the marketplace.
1;A lot of hard work is hidden behind nice things.
1;I do not know anyone who has got to the top without hard work. That is the recipe. It will not always get you to the top, but should get you pretty near
1;I work hard because I love my work.
1;chop your own wood and it will warm you twice. 
1;Always on time (or even early) for meetings and conferences.
1;Prompt and on time for the start of each workday.
1;Respects others by arriving at work and at meetings on time.
1; Adheres to the schedule whenever possible.
1;Never been a no call, no show employee.
1;Achieved perfect attendance over X (weeks, months, years).
1; Inspires others to improve their attendance.
1;Does not deviate from the attendance policy outlined in our employee handbook.
1;Begins each day on time and ready to go.
1; Very reliable about being at work on time
0;Does not meet company standards for attendance
0;Is frequently late to work.
0;Often exceeds the maximum number of vacation days.
0;Has not met attendance goals set at previous performance review.
0;Disrespects others by regularly arriving late to meetings.
0;comfort working space is something interesting for me
1;i'm interesting with technologies and innovation
0;Frequently returns late from scheduled breaks.
0; Does not follow the attendance policy.
0;Unreliable about reporting to work on time.
0;Poor attendance frequently affects coworkers.
0;Does not hold others to the company’s high attendance standards.
1;Has a cheerful attitude that benefits her teammates.
1;strength Looks for the positive in every situation.
1;Quick with a smile and a joke to lighten the mood during stressful times.
1;strength Does not let difficult circumstances get him down.
1;Positive attitude helps others on her team keep their motivation high.
1;Always reports to work cheerful and ready to get to work
1;Maintains a steady and positive attitude that inspires others.
1; Frequently has a smile for others.
1;Attitude reflects enjoyment of the job.
1;Builds an atmosphere of trust with others on the team.
0; Negative attitude in some situations has a tendency to cause problems.
0; Gets upset easily.
0; Needs to work on accepting constructive criticism.
0;Let’s non-work topics provoke her/himthe sun is shinning and I'm definately NOT working this pm
0;weakness Allows stress and pressure to get the better of him/her.
0;weakness Erupts into anger over minor issues.
0;weakness Displays of negative emotion affect others on the team.
0;weakness Needs to bring poor attitude under control.
0;Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.
0;Refuses to keep inflammatory comments to himself/herself.
1;strength Excellent at customer service.
1;Deals easily with all types of customers.
1;strength Takes great pride in helping each and every customer
